scene,slug,shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,1,0.000,4.667,00:00:00.000,00:00:04.667,4.667,0.00
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,2,4.667,6.125,00:00:04.667,00:00:06.125,1.458,10.41
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,3,6.125,17.750,00:00:06.125,00:00:17.750,11.625,8.97
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,4,17.750,28.375,00:00:17.750,00:00:28.375,10.625,8.40
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,5,28.375,29.083,00:00:28.375,00:00:29.083,0.708,10.54
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,6,29.083,49.792,00:00:29.083,00:00:49.792,20.708,9.80
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,7,49.792,53.542,00:00:49.792,00:00:53.542,3.750,8.65
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,8,53.542,54.833,00:00:53.542,00:00:54.833,1.292,8.64
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,9,54.833,55.625,00:00:54.833,00:00:55.625,0.792,8.05
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,10,55.625,79.542,00:00:55.625,00:01:19.542,23.917,11.26
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,11,79.542,85.458,00:01:19.542,00:01:25.458,5.917,8.62
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,12,85.458,93.667,00:01:25.458,00:01:33.667,8.208,8.17
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,13,93.667,145.333,00:01:33.667,00:02:25.333,51.667,8.05
Escana 11- INT. HARUWEN DEL OESTE - NOCHE ,escana_11-_int_haruwen_del_oeste_-_noche,14,145.333,147.417,00:02:25.333,00:02:27.417,2.083,11.55
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,1,0.000,12.708,00:00:00.000,00:00:12.708,12.708,0.00
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,2,12.708,17.583,00:00:12.708,00:00:17.583,4.875,8.11
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,3,17.583,59.542,00:00:17.583,00:00:59.542,41.958,8.49
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,4,59.542,61.208,00:00:59.542,00:01:01.208,1.667,10.17
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,5,61.208,73.625,00:01:01.208,00:01:13.625,12.417,13.51
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,6,73.625,76.625,00:01:13.625,00:01:16.625,3.000,11.82
Escana 9 - INT. OFICINA : ESTANCIA DESPEDIDA - DÍA,escana_9_-_int_oficina_estancia_despedida_-_dia,7,76.625,116.583,00:01:16.625,00:01:56.583,39.958,9.46
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,1,0.000,7.674,00:00:00.000,00:00:07.674,7.674,0.00
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,2,7.674,8.133,00:00:07.674,00:00:08.133,0.459,20.24
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,3,8.133,8.967,00:00:08.133,00:00:08.967,0.834,38.37
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,4,8.967,9.426,00:00:08.967,00:00:09.426,0.459,10.48
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,5,9.426,9.885,00:00:09.426,00:00:09.885,0.459,13.93
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,6,9.885,10.802,00:00:09.885,00:00:10.802,0.918,15.19
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,7,10.802,11.261,00:00:10.802,00:00:11.261,0.459,23.34
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,8,11.261,11.720,00:00:11.261,00:00:11.720,0.459,18.38
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,9,11.720,12.554,00:00:11.720,00:00:12.554,0.834,25.61
Escena 0-EXT. CIELO : ESPACIO EXTERIOR - NOCHE,escena_0-ext_cielo_espacio_exterior_-_noche,10,12.554,20.062,00:00:12.554,00:00:20.062,7.508,59.29
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,1,0.000,3.962,00:00:00.000,00:00:03.962,3.962,0.00
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,2,3.962,5.672,00:00:03.962,00:00:05.672,1.710,20.10
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,3,5.672,7.341,00:00:05.672,00:00:07.341,1.668,35.30
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,4,7.341,9.009,00:00:07.341,00:00:09.009,1.668,22.61
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,5,9.009,10.594,00:00:09.009,00:00:10.594,1.585,18.23
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,6,10.594,12.971,00:00:10.594,00:00:12.971,2.377,9.99
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,7,12.971,15.307,00:00:12.971,00:00:15.307,2.336,62.31
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,8,15.307,16.850,00:00:15.307,00:00:16.850,1.543,22.27
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,9,16.850,18.685,00:00:16.850,00:00:18.685,1.835,62.81
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,10,18.685,21.688,00:00:18.685,00:00:21.688,3.003,49.41
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,11,21.688,78.745,00:00:21.688,00:01:18.745,57.057,17.09
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,12,78.745,79.496,00:01:18.745,00:01:19.496,0.751,26.02
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,13,79.496,91.508,00:01:19.496,00:01:31.508,12.012,15.03
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,14,91.508,92.759,00:01:31.508,00:01:32.759,1.251,15.33
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,15,92.759,98.098,00:01:32.759,00:01:38.098,5.339,21.66
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,16,98.098,103.020,00:01:38.098,00:01:43.020,4.922,27.10
