shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,4.667,00:00:00.000,00:00:04.667,4.667,0.00
2,4.667,6.125,00:00:04.667,00:00:06.125,1.458,10.41
3,6.125,17.750,00:00:06.125,00:00:17.750,11.625,8.97
4,17.750,28.375,00:00:17.750,00:00:28.375,10.625,8.40
5,28.375,29.083,00:00:28.375,00:00:29.083,0.708,10.54
6,29.083,49.792,00:00:29.083,00:00:49.792,20.708,9.80
7,49.792,53.542,00:00:49.792,00:00:53.542,3.750,8.65
8,53.542,54.833,00:00:53.542,00:00:54.833,1.292,8.64
9,54.833,55.625,00:00:54.833,00:00:55.625,0.792,8.05
10,55.625,79.542,00:00:55.625,00:01:19.542,23.917,11.26
11,79.542,85.458,00:01:19.542,00:01:25.458,5.917,8.62
12,85.458,93.667,00:01:25.458,00:01:33.667,8.208,8.17
13,93.667,145.333,00:01:33.667,00:02:25.333,51.667,8.05
14,145.333,147.417,00:02:25.333,00:02:27.417,2.083,11.55
