shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,7.674,00:00:00.000,00:00:07.674,7.674,0.00
2,7.674,8.133,00:00:07.674,00:00:08.133,0.459,20.24
3,8.133,8.967,00:00:08.133,00:00:08.967,0.834,38.37
4,8.967,9.426,00:00:08.967,00:00:09.426,0.459,10.48
5,9.426,9.885,00:00:09.426,00:00:09.885,0.459,13.93
6,9.885,10.802,00:00:09.885,00:00:10.802,0.918,15.19
7,10.802,11.261,00:00:10.802,00:00:11.261,0.459,23.34
8,11.261,11.720,00:00:11.261,00:00:11.720,0.459,18.38
9,11.720,12.554,00:00:11.720,00:00:12.554,0.834,25.61
10,12.554,20.062,00:00:12.554,00:00:20.062,7.508,59.29
