shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,3.962,00:00:00.000,00:00:03.962,3.962,0.00
2,3.962,5.672,00:00:03.962,00:00:05.672,1.710,20.10
3,5.672,7.341,00:00:05.672,00:00:07.341,1.668,35.30
4,7.341,9.009,00:00:07.341,00:00:09.009,1.668,22.61
5,9.009,10.594,00:00:09.009,00:00:10.594,1.585,18.23
6,10.594,12.971,00:00:10.594,00:00:12.971,2.377,9.99
7,12.971,15.307,00:00:12.971,00:00:15.307,2.336,62.31
8,15.307,16.850,00:00:15.307,00:00:16.850,1.543,22.27
9,16.850,18.685,00:00:16.850,00:00:18.685,1.835,62.81
10,18.685,21.688,00:00:18.685,00:00:21.688,3.003,49.41
11,21.688,78.745,00:00:21.688,00:01:18.745,57.057,17.09
12,78.745,79.496,00:01:18.745,00:01:19.496,0.751,26.02
13,79.496,91.508,00:01:19.496,00:01:31.508,12.012,15.03
14,91.508,92.759,00:01:31.508,00:01:32.759,1.251,15.33
15,92.759,98.098,00:01:32.759,00:01:38.098,5.339,21.66
16,98.098,103.020,00:01:38.098,00:01:43.020,4.922,27.10
17,103.020,136.637,00:01:43.020,00:02:16.637,33.617,32.10
18,136.637,138.472,00:02:16.637,00:02:18.472,1.835,62.93
19,138.472,138.930,00:02:18.472,00:02:18.930,0.459,26.42
20,138.930,143.435,00:02:18.930,00:02:23.435,4.505,18.03
21,143.435,144.853,00:02:23.435,00:02:24.853,1.418,18.39
22,144.853,161.411,00:02:24.853,00:02:41.411,16.558,18.40
23,161.411,163.455,00:02:41.411,00:02:43.455,2.044,17.25
24,163.455,165.832,00:02:43.455,00:02:45.832,2.377,12.28
25,165.832,169.961,00:02:45.832,00:02:49.961,4.129,21.64
26,169.961,174.091,00:02:49.961,00:02:54.091,4.129,26.48
27,174.091,175.550,00:02:54.091,00:02:55.550,1.460,13.00
28,175.550,180.472,00:02:55.550,00:03:00.472,4.922,20.94
29,180.472,182.808,00:03:00.472,00:03:02.808,2.336,9.45
30,182.808,184.893,00:03:02.808,00:03:04.893,2.085,31.77
31,184.893,188.480,00:03:04.893,00:03:08.480,3.587,21.50
32,188.480,190.148,00:03:08.480,00:03:10.148,1.668,13.29
33,190.148,191.608,00:03:10.148,00:03:11.608,1.460,20.33
