shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,1.458,00:00:00.000,00:00:01.458,1.458,0.00
2,1.458,3.250,00:00:01.458,00:00:03.250,1.792,12.38
3,3.250,4.292,00:00:03.250,00:00:04.292,1.042,16.10
4,4.292,5.958,00:00:04.292,00:00:05.958,1.667,9.90
5,5.958,6.833,00:00:05.958,00:00:06.833,0.875,18.87
6,6.833,7.667,00:00:06.833,00:00:07.667,0.833,9.24
7,7.667,10.625,00:00:07.667,00:00:10.625,2.958,23.64
8,10.625,13.542,00:00:10.625,00:00:13.542,2.917,14.35
9,13.542,16.250,00:00:13.542,00:00:16.250,2.708,12.02
10,16.250,18.042,00:00:16.250,00:00:18.042,1.792,10.86
11,18.042,20.000,00:00:18.042,00:00:20.000,1.958,9.90
12,20.000,21.583,00:00:20.000,00:00:21.583,1.583,9.28
13,21.583,25.250,00:00:21.583,00:00:25.250,3.667,8.02
14,25.250,27.542,00:00:25.250,00:00:27.542,2.292,9.21
15,27.542,29.375,00:00:27.542,00:00:29.375,1.833,8.73
16,29.375,31.417,00:00:29.375,00:00:31.417,2.042,11.85
17,31.417,36.333,00:00:31.417,00:00:36.333,4.917,11.04
18,36.333,39.250,00:00:36.333,00:00:39.250,2.917,9.88
