shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,7.750,00:00:00.000,00:00:07.750,7.750,0.00
2,7.750,12.958,00:00:07.750,00:00:12.958,5.208,8.18
3,12.958,38.667,00:00:12.958,00:00:38.667,25.708,9.15
4,38.667,39.667,00:00:38.667,00:00:39.667,1.000,8.52
5,39.667,41.667,00:00:39.667,00:00:41.667,2.000,9.87
6,41.667,64.667,00:00:41.667,00:01:04.667,23.000,11.75
7,64.667,65.667,00:01:04.667,00:01:05.667,1.000,9.57
8,65.667,67.667,00:01:05.667,00:01:07.667,2.000,11.09
9,67.667,68.667,00:01:07.667,00:01:08.667,1.000,11.61
10,68.667,69.667,00:01:08.667,00:01:09.667,1.000,11.64
11,69.667,70.667,00:01:09.667,00:01:10.667,1.000,8.49
12,70.667,72.667,00:01:10.667,00:01:12.667,2.000,8.43
13,72.667,78.667,00:01:12.667,00:01:18.667,6.000,9.07
14,78.667,85.667,00:01:18.667,00:01:25.667,7.000,8.16
15,85.667,86.667,00:01:25.667,00:01:26.667,1.000,50.57
16,86.667,104.750,00:01:26.667,00:01:44.750,18.083,50.11
17,104.750,107.542,00:01:44.750,00:01:47.542,2.792,77.48
