shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,5.208,00:00:00.000,00:00:05.208,5.208,0.00
2,5.208,9.333,00:00:05.208,00:00:09.333,4.125,9.16
3,9.333,19.875,00:00:09.333,00:00:19.875,10.542,82.49
4,19.875,20.833,00:00:19.875,00:00:20.833,0.958,78.35
5,20.833,32.833,00:00:20.833,00:00:32.833,12.000,8.29
6,32.833,33.875,00:00:32.833,00:00:33.875,1.042,51.59
7,33.875,48.625,00:00:33.875,00:00:48.625,14.750,33.13
8,48.625,52.250,00:00:48.625,00:00:52.250,3.625,11.93
9,52.250,65.250,00:00:52.250,00:01:05.250,13.000,9.24
10,65.250,70.417,00:01:05.250,00:01:10.417,5.167,8.75
11,70.417,84.958,00:01:10.417,00:01:24.958,14.542,8.66
12,84.958,89.958,00:01:24.958,00:01:29.958,5.000,9.59
13,89.958,93.917,00:01:29.958,00:01:33.917,3.958,15.65
14,93.917,141.167,00:01:33.917,00:02:21.167,47.250,13.06
15,141.167,147.208,00:02:21.167,00:02:27.208,6.042,8.63
16,147.208,149.042,00:02:27.208,00:02:29.042,1.833,8.47
