shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,4.125,00:00:00.000,00:00:04.125,4.125,0.00
2,4.125,7.708,00:00:04.125,00:00:07.708,3.583,12.71
3,7.708,13.667,00:00:07.708,00:00:13.667,5.958,13.94
4,13.667,21.625,00:00:13.667,00:00:21.625,7.958,12.18
5,21.625,23.917,00:00:21.625,00:00:23.917,2.292,12.34
6,23.917,26.917,00:00:23.917,00:00:26.917,3.000,10.81
7,26.917,30.917,00:00:26.917,00:00:30.917,4.000,12.71
8,30.917,31.917,00:00:30.917,00:00:31.917,1.000,18.46
9,31.917,38.583,00:00:31.917,00:00:38.583,6.667,19.78
10,38.583,39.583,00:00:38.583,00:00:39.583,1.000,11.24
11,39.583,42.083,00:00:39.583,00:00:42.083,2.500,11.80
12,42.083,43.083,00:00:42.083,00:00:43.083,1.000,12.32
13,43.083,44.750,00:00:43.083,00:00:44.750,1.667,11.78
14,44.750,49.917,00:00:44.750,00:00:49.917,5.167,11.86
15,49.917,52.292,00:00:49.917,00:00:52.292,2.375,11.58
16,52.292,61.500,00:00:52.292,00:01:01.500,9.208,11.52
17,61.500,64.333,00:01:01.500,00:01:04.333,2.833,12.01
18,64.333,67.167,00:01:04.333,00:01:07.167,2.833,15.33
19,67.167,68.542,00:01:07.167,00:01:08.542,1.375,21.52
20,68.542,73.500,00:01:08.542,00:01:13.500,4.958,25.04
21,73.500,80.750,00:01:13.500,00:01:20.750,7.250,8.04
22,80.750,82.458,00:01:20.750,00:01:22.458,1.708,12.23
23,82.458,83.750,00:01:22.458,00:01:23.750,1.292,11.43
24,83.750,92.250,00:01:23.750,00:01:32.250,8.500,12.60
25,92.250,94.875,00:01:32.250,00:01:34.875,2.625,8.17
26,94.875,95.875,00:01:34.875,00:01:35.875,1.000,9.56
27,95.875,100.208,00:01:35.875,00:01:40.208,4.333,9.40
