shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,2.333,00:00:00.000,00:00:02.333,2.333,0.00
2,2.333,3.417,00:00:02.333,00:00:03.417,1.083,28.14
3,3.417,4.708,00:00:03.417,00:00:04.708,1.292,28.14
4,4.708,28.167,00:00:04.708,00:00:28.167,23.458,21.47
5,28.167,39.917,00:00:28.167,00:00:39.917,11.750,10.44
6,39.917,52.042,00:00:39.917,00:00:52.042,12.125,10.74
7,52.042,60.208,00:00:52.042,00:01:00.208,8.167,9.14
8,60.208,62.042,00:01:00.208,00:01:02.042,1.833,8.36
9,62.042,62.875,00:01:02.042,00:01:02.875,0.833,8.53
10,62.875,69.500,00:01:02.875,00:01:09.500,6.625,8.63
11,69.500,72.208,00:01:09.500,00:01:12.208,2.708,9.75
12,72.208,80.042,00:01:12.208,00:01:20.042,7.833,9.75
13,80.042,95.792,00:01:20.042,00:01:35.792,15.750,10.38
14,95.792,99.958,00:01:35.792,00:01:39.958,4.167,9.25
15,99.958,102.417,00:01:39.958,00:01:42.417,2.458,8.27
16,102.417,112.458,00:01:42.417,00:01:52.458,10.042,9.72
17,112.458,117.875,00:01:52.458,00:01:57.875,5.417,8.82
