shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,2.042,00:00:00.000,00:00:02.042,2.042,0.00
2,2.042,4.042,00:00:02.042,00:00:04.042,2.000,20.09
3,4.042,16.667,00:00:04.042,00:00:16.667,12.625,11.29
4,16.667,18.542,00:00:16.667,00:00:18.542,1.875,9.59
5,18.542,21.625,00:00:18.542,00:00:21.625,3.083,9.60
6,21.625,23.000,00:00:21.625,00:00:23.000,1.375,13.54
7,23.000,41.792,00:00:23.000,00:00:41.792,18.792,12.91
8,41.792,42.833,00:00:41.792,00:00:42.833,1.042,8.09
9,42.833,56.167,00:00:42.833,00:00:56.167,13.333,8.72
10,56.167,56.958,00:00:56.167,00:00:56.958,0.792,8.45
11,56.958,65.083,00:00:56.958,00:01:05.083,8.125,10.35
12,65.083,69.583,00:01:05.083,00:01:09.583,4.500,82.10
13,69.583,74.125,00:01:09.583,00:01:14.125,4.542,9.13
14,74.125,75.250,00:01:14.125,00:01:15.250,1.125,15.12
15,75.250,76.458,00:01:15.250,00:01:16.458,1.208,17.99
16,76.458,94.792,00:01:16.458,00:01:34.792,18.333,10.20
17,94.792,96.958,00:01:34.792,00:01:36.958,2.167,11.64
18,96.958,120.958,00:01:36.958,00:02:00.958,24.000,11.77
