shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
1,0.000,1.000,00:00:00.000,00:00:01.000,1.000,0.00
2,1.000,2.375,00:00:01.000,00:00:02.375,1.375,12.58
3,2.375,23.708,00:00:02.375,00:00:23.708,21.333,8.13
4,23.708,25.708,00:00:23.708,00:00:25.708,2.000,8.68
5,25.708,64.667,00:00:25.708,00:01:04.667,38.958,8.26
6,64.667,65.792,00:01:04.667,00:01:05.792,1.125,10.18
7,65.792,66.500,00:01:05.792,00:01:06.500,0.708,12.72
8,66.500,67.250,00:01:06.500,00:01:07.250,0.750,16.28
9,67.250,68.958,00:01:07.250,00:01:08.958,1.708,12.63
10,68.958,70.292,00:01:08.958,00:01:10.292,1.333,11.58
11,70.292,70.792,00:01:10.292,00:01:10.792,0.500,9.65
12,70.792,75.167,00:01:10.792,00:01:15.167,4.375,12.86
13,75.167,122.958,00:01:15.167,00:02:02.958,47.792,9.83
14,122.958,132.250,00:02:02.958,00:02:12.250,9.292,8.07
